,dock_id,dock_name,_lat,_long
863902,432,E 7 St & Avenue A,40.726217999999996,-73.983799
868038,433,E 13 St & Avenue A,40.729554,-73.980572
872174,434,9 Ave & W 18 St,40.743173999999996,-74.003664
876310,435,W 21 St & 6 Ave,40.74174,-73.994156
880446,436,Hancock St & Bedford Ave,40.682165999999995,-73.95399
884582,437,Macon St & Nostrand Ave,40.680983000000005,-73.950048
888718,438,St Marks Pl & 1 Ave,40.727790999999996,-73.985649
892854,439,E 4 St & 2 Ave,40.726281,-73.98978000000001
896990,440,E 45 St & 3 Ave,40.752553999999996,-73.972826
901126,441,E 52 St & 2 Ave,40.756014,-73.967416
905262,442,W 27 St & 7 Ave,40.746646999999996,-73.993915
909398,443,Bedford Ave & S 9th St,40.708531,-73.96409
913534,444,Broadway & W 24 St,40.742354,-73.989151
917670,445,E 10 St & Avenue A,40.727408000000004,-73.98142
921806,446,W 24 St & 7 Ave,40.744876,-73.995299
925942,447,8 Ave & W 52 St,40.763707000000004,-73.985162
930078,448,W 37 St & 10 Ave,40.756603999999996,-73.997901
934214,449,W 52 St & 9 Ave,40.764618,-73.987895
938350,450,W 49 St & 8 Ave,40.762271999999996,-73.987882
942486,453,W 22 St & 8 Ave,40.744751,-73.999154
946622,454,E 51 St & 1 Ave,40.754557,-73.96593
950758,455,1 Ave & E 44 St,40.75002,-73.969053
954894,456,E 53 St & Madison Ave,40.759710999999996,-73.974023
959030,457,Broadway & W 58 St,40.766953,-73.981693
963166,458,11 Ave & W 27 St,40.751396,-74.00522600000001
967302,459,W 20 St & 11 Ave,40.746745000000004,-74.007756
971438,460,S 4 St & Wythe Ave,40.712859,-73.965903
975574,461,E 20 St & 2 Ave,40.735877,-73.98205
979710,462,W 22 St & 10 Ave,40.74692,-74.00451899999999
983846,463,9 Ave & W 16 St,40.742065000000004,-74.004432
987982,464,E 56 St & 3 Ave,40.759345,-73.967597
992118,465,Broadway & W 41 St,40.755136,-73.98658
996254,466,W 25 St & 6 Ave,40.743953999999995,-73.991449
1000390,467,Dean St & 4 Ave,40.683125,-73.978951
1004526,468,Broadway & W 55 St,40.765265,-73.981923
1008662,469,Broadway & W 53 St,40.763441,-73.982681
1012798,470,W 20 St & 8 Ave,40.743453,-74.00004
1016934,471,Grand St & Havemeyer St,40.712868,-73.956981
1021070,472,E 32 St & Park Ave,40.745712,-73.981948
1025206,473,Rivington St & Chrystie St,40.721101000000004,-73.991925
1029342,474,5 Ave & E 29 St,40.745168,-73.98683100000001
1033478,475,E 16 St & Irving Pl,40.735243,-73.987586
1037614,476,E 31 St & 3 Ave,40.743943,-73.979661
1041750,477,W 41 St & 8 Ave,40.756405,-73.990026
1045886,478,11 Ave & W 41 St,40.760301,-73.99884200000001
1050022,479,9 Ave & W 45 St,40.760193,-73.99125500000001
1054158,480,W 53 St & 10 Ave,40.766697,-73.990617
1058294,481,S 3 St & Bedford Ave,40.712604999999996,-73.962644
1062430,482,W 15 St & 7 Ave,40.739354999999996,-73.999318
1066566,483,E 12 St & 3 Ave,40.732233,-73.9889
1070702,484,W 44 St & 5 Ave,40.755003,-73.980144
1074838,485,W 37 St & 5 Ave,40.75038,-73.98339
1078974,486,Broadway & W 29 St,40.746201,-73.988557
1083110,487,E 20 St & FDR Drive,40.733143,-73.975739
1087246,488,W 39 St & 9 Ave,40.756458,-73.99372199999999
1091382,489,10 Ave & W 28 St,40.750664,-74.001768
1095518,490,8 Ave & W 33 St,40.751551,-73.993934
1099654,491,E 24 St & Park Ave S,40.740964,-73.98602199999999
1103790,492,W 33 St & 7 Ave,40.7502,-73.990931
1107926,493,W 45 St & 6 Ave,40.7568,-73.982912
1112062,494,W 26 St & 8 Ave,40.747347999999995,-73.997236
1116198,495,W 47 St & 10 Ave,40.762699,-73.993012
1120334,496,E 16 St & 5 Ave,40.737262,-73.99239
1124470,497,E 17 St & Broadway,40.73705,-73.990093
1128606,498,Broadway & W 32 St,40.748549,-73.988084
1132742,499,Broadway & W 60 St,40.769155,-73.98191800000001
1136878,500,Broadway & W 51 St,40.762288,-73.983362
1141014,501,FDR Drive & E 35 St,40.744219,-73.971212
1145150,502,Henry St & Grand St,40.714215,-73.981346
1149286,503,E 20 St & Park Ave,40.738274,-73.98751999999999
1153422,504,1 Ave & E 15 St,40.732219,-73.981656
1157558,505,6 Ave & W 33 St,40.749013,-73.988484
1161694,507,E 25 St & 2 Ave,40.739126,-73.979738
1165830,508,W 46 St & 11 Ave,40.763414000000004,-73.996674
1169966,509,9 Ave & W 22 St,40.745497,-74.001971
1174102,510,W 51 St & 6 Ave,40.760659999999994,-73.98042
1178238,511,E 14 St & Avenue B,40.729387,-73.977724
1182374,512,W 29 St & 9 Ave,40.750073,-73.99839300000001
1186510,513,W 56 St & 10 Ave,40.768254,-73.988639
1190646,514,12 Ave & W 40 St,40.760875,-74.00277700000001
1194782,515,W 43 St & 10 Ave,40.760094,-73.994618
1198918,516,E 47 St & 1 Ave,40.752069,-73.967844
1203054,517,Pershing Square South,40.751581,-73.97791
1207190,518,E 39 St & 2 Ave,40.747803999999995,-73.973442
1211326,519,Pershing Square North,40.751872999999996,-73.97770600000001
1215462,520,W 52 St & 5 Ave,40.759923,-73.976485
1223734,522,E 51 St & Lexington Ave,40.757148,-73.972078
1227870,523,W 38 St & 8 Ave,40.754666,-73.991382
1232006,524,W 43 St & 6 Ave,40.755272999999995,-73.98316899999999
1236142,525,W 34 St & 11 Ave,40.755942,-74.002116
1240278,526,E 33 St & 5 Ave,40.747659000000006,-73.98490699999999
1244414,527,E 33 St & 2 Ave,40.744023,-73.976056
1248550,528,2 Ave & E 31 St,40.742909000000004,-73.97706099999999
1252686,529,W 42 St & 8 Ave,40.75757,-73.990985
1256822,530,11 Ave & W 59 St,40.771522,-73.99054100000001
1260958,531,Forsyth St & Broome St,40.718939,-73.99266300000001
1265094,532,S 5 Pl & S 4 St,40.710451,-73.960876
1269230,533,Broadway & W 39 St,40.752996,-73.987216
1273366,534,Water - Whitehall Plaza,40.702551,-74.012723
1277502,536,1 Ave & E 30 St,40.741444,-73.97536099999999
1281638,537,Lexington Ave & E 24 St,40.740259,-73.984092
1285774,538,E 48 St & Madison Ave,40.75666,-73.97668399999999
1289910,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241
1298008,545,E 23 St & 1 Ave,40.736502,-73.978095
1302144,546,E 30 St & Park Ave S,40.744448999999996,-73.983035
1306280,2000,Front St & Washington St,40.702551,-73.989402
1310416,2001,Sands St & Navy St,40.699773,-73.979927
1314552,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999
1322650,2004,6 Ave & Broome St,40.724399,-74.004704
1326786,2005,Railroad Ave & Kay Ave,40.705312,-73.971001
1330922,2006,Central Park S & 6 Ave,40.765909,-73.976342
1335058,2008,Little West St & 1 Pl,40.705693,-74.016777
1339194,2009,Catherine St & Monroe St,40.711174,-73.996826
1343330,2010,Grand St & Greene St,40.721655,-74.002347
1347466,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001
1351602,2017,E 43 St & 2 Ave,40.750223999999996,-73.971214
1355738,2021,W 45 St & 8 Ave,40.759291,-73.988597
1359874,2022,E 59 St & Sutton Pl,40.758491,-73.95920600000001
1364010,2023,E 55 St & Lexington Ave,40.759681,-73.970314
1368146,3002,South End Ave & Liberty St,40.711512,-74.01575600000001
